Cod, Evento
0, xApp_Lora_Log_Event_ResetFrom_SOFTWARE
1, xApp_Lora_Log_Event_ResetFrom_WDT            
2, xApp_Lora_Log_Event_ResetFrom_EXTERNAL_RESET 
3, xApp_Lora_Log_Event_ResetFrom_BOD33          
4, xApp_Lora_Log_Event_ResetFrom_BOD12          
5, xApp_Lora_Log_Event_ResetFrom_POR            
6, xApp_Lora_Log_Event_ResetFrom_BKP            
100, xApp_Lora_Log_Event_RemoteCmd_GetConfig          
101, xApp_Lora_Log_Event_RemoteCmd_Publish_Interval       
102, xApp_Lora_Log_Event_RemoteCmd_Acquisition_Interval   
103, xApp_Lora_Log_Event_RemoteCmd_Alarm_DerTrafo         
104, xApp_Lora_Log_Event_RemoteCmd_Alarm_Trafo            
105, xApp_Lora_Log_Event_RemoteCmd_Alarm_Trafo_Hyst       
106, xApp_Lora_Log_Event_RemoteCmd_Alarm_DerTrafo_Hyst    
107, xApp_Lora_Log_Event_RemoteCmd_Alarm_Trafo_AverageSize
108, xApp_Lora_Log_Event_RemoteCmd_Alarm_DerAmb           
109, xApp_Lora_Log_Event_RemoteCmd_Alarm_Amb              
110, xApp_Lora_Log_Event_RemoteCmd_Alarm_Amb_Hyst         
111, xApp_Lora_Log_Event_RemoteCmd_Alarm_DerAmb_Hyst      
112, xApp_Lora_Log_Event_RemoteCmd_Amb_AverageSize        
113, xApp_Lora_Log_Event_RemoteCmd_Alarm_Bat              
114, xApp_Lora_Log_Event_RemoteCmd_Alarm_Bat_Hyst         
200, xApp_Lora_Log_Event_USB_Pluged                       
201, xApp_Lora_Log_Event_TurnON_by_button                 
202, xApp_Lora_Log_Event_TurnOFF_by_button                
203, xApp_Lora_Log_Event_Reset_Battery_capacity           
300, xApp_Lora_Log_Event_JoinStatus_LORAWAN_RADIO_SUCCESS
301, xApp_Lora_Log_Event_JoinStatus_LORAWAN_RADIO_NO_DATA            
302, xApp_Lora_Log_Event_JoinStatus_LORAWAN_RADIO_DATA_SIZE          
303, xApp_Lora_Log_Event_JoinStatus_LORAWAN_RADIO_INVALID_REQ        
304, xApp_Lora_Log_Event_JoinStatus_LORAWAN_RADIO_BUSY               
305, xApp_Lora_Log_Event_JoinStatus_LORAWAN_RADIO_OUT_OF_RANGE       
306, xApp_Lora_Log_Event_JoinStatus_LORAWAN_RADIO_UNSUPPORTED_ATTR   
307, xApp_Lora_Log_Event_JoinStatus_LORAWAN_RADIO_CHANNEL_BUSY       
308, xApp_Lora_Log_Event_JoinStatus_LORAWAN_SUCCESS                  
309, xApp_Lora_Log_Event_JoinStatus_LORAWAN_NWK_NOT_JOINED           
310, xApp_Lora_Log_Event_JoinStatus_LORAWAN_INVALID_PARAMETER        
311, xApp_Lora_Log_Event_JoinStatus_LORAWAN_KEYS_NOT_INITIALIZED     
